være;Jeg er glad.;to be;I am happy.;
en dommer;En dommer bestemmer hvem som vinner kampen.;judge;A judge decides who wins the match.;
typisk;Det er typisk norsk å gå på tur.;typical;It is typical Norwegian to go for a hike.;
prioritere;Vi må prioritere de viktigste oppgavene først.;prioritize;We must prioritize the most important tasks first.;
bevege;Du må bevege deg mer for å holde helsen.;move;You must move more to keep your health.;
en arbeidsplass;Jeg trives godt på min nye arbeidsplass.;workplace;I enjoy myself at my new workplace.;
en sektor;Han jobber i offentlig sektor.;sector;He works in the public sector.;
å leke;Barna liker å leke ute i hagen;to play;The children like to play out in the garden;
en eksamen;Jeg studerer hardt før min siste eksamen;an exam;I study hard before my last exam;
en analyse;Han skriver en grundig analyse av boken;an analysis;He writes a thorough analysis of the book;
å utarbeide;Vi utarbeider en ny plan for prosjektet;to develop;We are developing a new plan for the project;
offisiell;Dette er den offisielle nettsiden til kommunen;official;This is the official website of the municipality;
nydelig;Det er nydelig vær i dag;lovely;It is lovely weather today;
å skjule;Hun prøver å skjule gaven for ham;to hide;She is trying to hide the gift from him;
et håp;Vi har et stort håp om fred;a hope;We have a great hope for peace;
å definere;Læreren hjelper oss med å definere ordet;to define;The teacher helps us to define the word;
en legg;Han har vondt i en legg etter turen;a calf;He has pain in a calf after the trip;
en oppfatning;Min oppfatning er at saken er veldig viktig;an impression;My impression is that the case is very important;
en bygning;Denne gamle bygningen er veldig vakker;a building;This old building is very beautiful;
et hav;Skipet seiler over et stort hav;an ocean;The ship sails across a large ocean;
å brenne;De brenner gammelt treverk i peisen;to burn;They burn old wood in the fireplace;
en synd;Det er en synd å kaste mat;a sin;It is a sin to throw away food;
en pause;Vi tar en kort pause fra jobben;a break;We take a short break from work;
en beskrivelse;Kan du gi en beskrivelse av mannen;a description;Can you give a description of the man;
å koble;Jeg må koble datamaskinen til internett;to connect;I must connect the computer to the internet;
kjempegod;Maten smaker kjempegodt i kveld;excellent;The food tastes excellent tonight;
en bestemmelse;Regjeringen tar en viktig bestemmelse i dag;a decision;The government makes an important decision today;
sunn;Det er viktig å spise sunn mat;healthy;It is important to eat healthy food;
et vindu;Han ser ut av et vindu på kontoret;a window;He looks out of a window at the office;
dit;Vi skal reise dit i sommerferien;there;We are going to travel there during the summer vacation;
en bror;Min bror bor i en annen by;a brother;My brother lives in another city;
en hendelse;Dette er en merkelig hendelse for oss;an event;This is a strange event for us;
en medisin;Jeg tar en medisin mot forkjølelse.;medicine;I am taking a medicine for a cold.;
forbi;Bussen kjører forbi huset mitt hver dag.;past;The bus drives past my house every day.;
en runde;Vi går en runde rundt det lille vannet.;round;We are walking a round around the small lake.;
en stil;Hun skriver en stil om sin reise.;essay;She is writing an essay about her journey.;
merkelig;Det skjer noe merkelig i denne gamle bygningen.;strange;Something strange is happening in this old building.;
en bunn;Det ligger mange steiner på fjellets bunn.;bottom;There are many stones at the bottom of the mountain.;
kommunal;Han jobber i en kommunal barnehage i Oslo.;municipal;He works in a municipal kindergarten in Oslo.;
ytre;De diskuterer landets ytre grenser i dette møtet.;outer;They are discussing the country's outer borders in this meeting.;
en kategori;Du må velge en kategori for denne boken.;category;You must choose a category for this book.;
avsløre;Journalisten prøver å avsløre sannheten om saken.;reveal;The journalist is trying to reveal the truth about the case.;
rund;Sola ser ut som en stor, rund ball.;round;The sun looks like a large, round ball.;
en halvpart;Han spiser en halvpart av den store kaken.;half;He is eating one half of the large cake.;
en felle;Musa går rett i en felle på kjøkkenet.;trap;The mouse goes straight into a trap in the kitchen.;
tåle;Huden min må tåle mye sol om sommeren.;endure;My skin must endure a lot of sun in the summer.;
et kart;Vi bruker et kart for å finne veien.;map;We use a map to find the way.;
snill;Læreren vår er veldig snill mot alle elevene.;kind;Our teacher is very kind to all the students.;
lange;Barna går mange lange turer i skogen.;long;The children go many long walks in the forest.;
en mobil;Jeg ringer min mor med en ny mobil.;mobile phone;I am calling my mother with a new mobile phone.;
en ære;Det er en stor ære å møte kongen.;honor;It is a great honor to meet the king.;
innsendt;Redaktøren leser et innsendt dikt fra en leser.;submitted;The editor is reading a submitted poem from a reader.;
blande;Jeg liker å blande saft med kaldt vann.;mix;I like to mix juice with cold water.;
ekte;Denne ringen er laget av ekte gull.;real;This ring is made of real gold.;
stolt;Faren er veldig stolt av sin flinke datter.;proud;The father is very proud of his clever daughter.;
en høgskole;Hun studerer økonomi ved en høgskole i Bergen.;college;She is studying economics at a college in Bergen.;
nødvendigvis;Det er ikke nødvendigvis sant det han sier.;necessarily;It is not necessarily true what he is saying.;
rente;Banken gir meg en lav rente på lånet.;interest;The bank gives me a low interest on the loan.;
et departement;Dette departementet har ansvar for skoler og utdanning.;department;This department is responsible for schools and education.;
nordisk;Vi samarbeider ofte med andre nordiske land.;Nordic;We often cooperate with other Nordic countries.;
et kjønn;Du må krysse av for riktig kjønn i skjemaet.;gender;You must check the correct gender in the form.;
forutsette;Gode resultater forutsetter at vi jobber hardt.;require;Good results require that we work hard.;
en dato;Hvilken dato passer best for vårt neste møte?;date;Which date fits best for our next meeting.;
en innbygger;Hver innbygger i byen må kildesortere søppel.;inhabitant;Every inhabitant in the city must recycle trash.;
en tilstand;Bilen er i veldig god teknisk tilstand.;condition;The car is in very good technical condition.;
en skuespiller;Denne kjente skuespilleren spiller hovedrollen i filmen.;actor;The famous actor plays the main role in the movie.;
ei seng;Jeg kjøper en ny seng til det lille soverommet.;bed;I am buying a new bed for the small bedroom.;
søt;Kaken smaker veldig søt og god.;sweet;The cake tastes very sweet and good.;
tulle;Du må ikke tulle med så viktige ting.;joke;You must not joke about such important things.;
en veiledning;Studentene trenger veiledning før de begynner på oppgaven.;guidance;The students need guidance before they start the assignment.;
en arm;Han har en tatovering på sin venstre arm.;arm;He has a tattoo on his left arm.;
nyte;Jeg liker å nyte en kopp kaffe ute.;enjoy;I like to enjoy a cup of coffee outside.;
servere;Restauranten serverer middag klokken atten.;serve;The restaurant serves dinner at six o'clock.;
trist;Det er trist at de skal flytte fra oss.;sad;It is sad that they are moving away from us.;
et sleng;Døra gikk igjen med et sleng.;slam;The door closed with a slam.;
et signal;Vi venter på et signal før vi starter.;signal;We are waiting for a signal before we start.;
kjedelig;Jeg synes det er kjedelig å vente på bussen.;boring;I think it is boring to wait for the bus.;
rein;Luften på fjellet er veldig frisk og rein.;clean
en last;Lastebilen har en tung last på hengeren.;a load;The truck has a heavy load on the trailer.;
en stjerne;Jeg ser en lys stjerne på himmelen.;a star;I see a bright star in the sky.;
en mikrofon;Sangeren holder en mikrofon i hånden.;a microphone;The singer holds a microphone in his hand.;
en sannhet;Du må alltid fortelle hele sannheten.;a truth;You must always tell the whole truth.;
en statsminister;Statsministeren holder en tale i dag.;prime minister;The prime minister is giving a speech today.;
en smerte;Jeg føler en sterk smerte i ryggen.;pain;I feel a strong pain in my back.;
en kule;Barnet leker med en liten kule.;marble;The child is playing with a small marble.;
et fengsel;Mannen må sitte tre år i fengsel.;prison;The man must stay three years in prison.;
en ettermiddag;Vi drikker kaffe sammen hver ettermiddag.;afternoon;We drink coffee together every afternoon.;
nøye;Du må lese oppgaven veldig nøye.;carefully;You must read the task very carefully.;
en overgang;Dette er en vanskelig overgang for bedriften.;transition;This is a difficult transition for the company.;
å forholde;Jeg må forholde meg til de nye reglene.;relate;I must relate to the new rules.;
et blad;Treet mister et gult blad om høsten.;leaf;The tree loses a yellow leaf in the autumn.;
et kapittel;Jeg leser det siste kapittelet i boken.;chapter;I am reading the last chapter in the book.;
et element;Vann er et viktig element i naturen.;element;Water is an important element in nature.;
et rykte;Det går et merkelig rykte på skolen.;rumor;There is a strange rumor going around the school.;
en forventning;Hun har en høy forventning til resultatet.;expectation;She has a high expectation for the result.;
en skolegård;Elevene leker i en stor skolegård.;schoolyard;The students play in a large schoolyard.;
elektronisk;Du må sende inn et elektronisk skjema.;electronic;You must submit an electronic form.;
en sjø;Vi ror en båt på en stille sjø.;sea;We row a boat on a calm sea.;
en alkohol;Butikken selger ikke alkohol til unge mennesker.;alcohol;The shop does not sell alcohol to young people.;
data;Vi lagrer all viktig data på en server.;data;We store all important data on a server.;
en egenskap;Snillhet er en god egenskap hos folk.;quality;Kindness is a good quality in people.;
fremfor;Han velger kaffe fremfor te i dag.;rather than;He chooses coffee rather than tea today.;
villig;Jeg er villig til å hjelpe deg.;willing;I am willing to help you.;
en kar;Han er en veldig hyggelig kar.;guy;He is a very nice guy.;
en litteratur;Hun studerer klassisk litteratur ved universitetet.;literature;She studies classical literature at the university.;
en påstand;Politiet undersøker en alvorlig påstand.;claim;The police are investigating a serious claim.;
et perspektiv;Dette gir oss et nytt perspektiv på saken.;perspective;This gives us a new perspective on the case.;
le;Han begynner å le av den morsomme vitsen.;laugh;He starts to laugh at the funny joke.;
et blod;Legen tar en prøve av mitt blod.;blood;The doctor takes a sample of my blood.;
en problemstilling;Denne oppgaven har en vanskelig problemstilling.;issue;This assignment has a difficult issue.;
heldig;Du er veldig heldig som vant i går.;lucky;You are very lucky that you won yesterday.;
såpass;Er klokka allerede såpass mye?;that much;Is it already that much?;
en samling;Hun har en stor samling av gamle bøker.;collection;She has a large collection of old books.;
tydeligvis;Han har tydeligvis glemt hele avtalen vår.;evidently;He has evidently forgotten our entire agreement.;
et verk;Dette er et kjent verk av Edvard Munch.;work;This is a famous work by Edvard Munch.;
kvinnelig;Skolen har fått en ny kvinnelig rektor.;female;The school has a new female principal.;
feire;Vi skal feire bursdagen din på lørdag.;celebrate;We are going to celebrate your birthday on Saturday.;
ei elv;Det renner ei kald elv gjennom skogen.;river;A cold river flows through the forest.;
tilstrekkelig;Vi har ikke tilstrekkelig med tid til dette.;sufficient;We do not have sufficient time for this.;
muligens;Jeg kommer muligens på besøk i neste uke.;possibly;I am possibly coming to visit next week.;
en lek;Barna er opptatt med en morsom lek.;game;The children are busy with a fun game.;
en vin;De drikker en god vin til middagen.;wine;They drink a good wine with the dinner.;
intern;Bedriften har en intern kriseløsning.;internal;The company has an internal crisis solution.;
ei kjerring;Den gamle kjerringa bor i det lille huset.;old woman;The old woman lives in the small house.;
score;Han prøver å score et mål i kampen.;score;He tries to score a goal in the match.;
Italia;Jeg har lyst til å reise til Italia.;Italy;I want to travel to Italy.;
vennlig;Hun gir meg alltid et vennlig svar.;friendly;She always gives me a friendly answer.;
en faktor;Været er en viktig faktor for turen.;factor;The weather is an important factor for the trip.;
en kandidat;Han er en god kandidat til jobben.;candidate;He is a good candidate for the job.;
fremstå;Du må fremstå som en trygg person.;appear;You must appear as a confident person.;
et arrangement;Dette er et stort arrangement for hele byen.;event;This is a large event for the whole city.;
en besteforelder;Hver besteforelder er glad i sine barnebarn.;grandparent;Each grandparent is fond of their grandchildren.;
en kjæreste;Jeg har en snill kjæreste;boyfriend/girlfriend;I have a kind boyfriend.
ni;Barnet er ni år gammelt;nine;The child is nine years old.
et blikk;Han gir henne et raskt blikk;a look/glance;He gives her a quick glance.
islam;Mange mennesker i verden følger islam;Islam;Many people in the world follow Islam.
overføre;Jeg må overføre penger til banken din;transfer;I must transfer money to your bank.
lukke;Vennligst lukk døren når du går;close;Please close the door when you leave.
en hud;Solen er sterk for min hud;skin;The sun is strong for my skin.
bevisst;Hun er bevisst på sine valg;conscious/aware;She is aware of her choices.
en do;Hvor er nærmeste do i dette bygget;toilet;Where is the nearest toilet in this building.
samarbeide;Vi må samarbeide for å nå målet;cooperate;We must cooperate to reach the goal.
moro;Det er mye moro på festen;fun;There is much fun at the party.
en kommunikasjon;God kommunikasjon er viktig på jobben;communication;Good communication is important at work.
en slåball;Barna spiller slåball i parken;rounders;The children play rounders in the park.
vitenskapelig;De bruker en vitenskapelig metode;scientific;They use a scientific method.
en kombinasjon;Dette er en god kombinasjon av smaker;combination;This is a good combination of flavors.
en trussel;Dårlig vær er en trussel for turen;threat;Bad weather is a threat to the trip.
forberede;Jeg må forberede meg til eksamen;prepare;I must prepare for the exam.
en stein;Han kaster en liten stein i vannet;stone;He throws a small stone into the water.
et gull;Ringen er laget av rent gull;gold;The ring is made of pure gold.
en kaffe;Jeg drikker en kopp kaffe hver morgen;coffee;I drink a cup of coffee every morning.
slette;Du kan slette filen fra datamaskinen;delete;You can delete the file from the computer.
nedover;Vi går nedover den bratte bakken;downwards;We are walking downwards the steep hill.
en dialog;De har en god dialog om problemet;dialogue;They have a good dialogue about the problem.
en middag;Vi spiser middag sammen klokka seks;dinner;We eat dinner together at six o'clock.
levende;Skogen er full av levende dyr;living;The forest is full of living animals.
en rase;Hunder av samme rase leker ofte sammen.;a breed;Dogs of the same breed often play together.;
plukke;Jeg liker å plukke bær i skogen.;to pick;I like to pick berries in the forest.;
fremtidig;Han planlegger sin fremtidige karriere nå.;future;He is planning his future career now.;
en arbeidsgiver;Min arbeidsgiver betaler lønn hver måned.;an employer;My employer pays salary every month.;
en hensikt;Hva er din hensikt med dette besøket?;a purpose;What is your purpose with this visit?;
herlig;Det er et herlig vær i dag.;wonderful;It is wonderful weather today.;
dokumentere;Du må dokumentere alle dine utgifter.;to document;You must document all your expenses.;
en plassering;Hytta har en flott plassering ved sjøen.;a location;The cabin has a great location by the sea.;
en krise;Regjeringen håndterer en økonomisk krise.;a crisis;The government is handling an economic crisis.;
involvere;Vi må involvere alle ansatte i prosjektet.;to involve;We must involve all employees in the project.;
et kvadrat;Et kvadrat har fire like lange sider.;a square;A square has four sides of equal length.;
gravid;Hun er gravid og venter barn i juli.;pregnant;She is pregnant and expecting a baby in July.;
en status;Sjekk din status på søknaden din.;a status;Check your status on your application.;
opplyse;Vennligst opplys om ditt fulle navn.;to inform;Please inform about your full name.;
en hybel;Studenten leier en liten hybel i sentrum.;a bedsit;The student rents a small bedsit in the center.;
korrekt;Svaret på oppgaven er helt korrekt.;correct;The answer to the task is completely correct.;
huse;Dette bygget skal huse det nye biblioteket.;to house;This building will house the new library.;
spiss;Blyanten er veldig spiss og god å skrive med.;sharp;The pencil is very sharp and good to write with.;
en himmel;Solen skinner fra en blå himmel.;a sky;The sun shines from a blue sky.;
rive;De skal rive det gamle huset i morgen.;to tear down;They are going to tear down the old house tomorrow.;
et øre;Jeg har vondt i mitt venstre øre.;an ear;I have a pain in my left ear.;
hate;Jeg hater å stå opp tidlig om morgenen.;to hate;I hate getting up early in the morning.;
et forbund;Idrettslaget er medlem i et nasjonalt forbund.;an association;The sports club is a member of a national association.;
en plante;Denne grønne planten trenger mye vann.;a plant;This green plant needs a lot of water.;
en høyde;Fjellet er i en høyde på tusen meter.;a height;The mountain is at a height of a thousand meters.;
opprettholde;Vi må opprettholde gode rutiner i hverdagen.;maintain;We must maintain good routines in everyday life.;
et lokale;De leier et lokale til festen.;a room;They are renting a room for the party.;
en stemning;Det er god stemning i rommet.;an atmosphere;There is a good atmosphere in the room.;
funke;Denne metoden bør funke for oss.;work;This method should work for us.;
undertegne;Du må undertegne kontrakten nå.;sign;You must sign the contract now.;
ulovlig;Det er ulovlig å kjøre for fort.;illegal;It is illegal to drive too fast.;
oppføre;Barna må oppføre seg pent på skolen.;behave;The children must behave well at school.;
en orden;Han holder alltid orden på papirene sine.;an order;He always keeps order of his papers.;
snø;Det faller hvit snø fra himmelen.;snow;White snow is falling from the sky.;
en valp;En liten valp leker i hagen.;a puppy;A little puppy is playing in the garden.;
vill;Hesten løper vill i skogen.;wild;The horse runs wild in the forest.;
straffe;Loven skal straffe de som gjør feil.;punish;The law shall punish those who do wrong.;
å fange;Katten prøver å fange en mus.;to catch;The cat is trying to catch a mouse.;
anonym;Mannen ønsker å være helt anonym.;anonymous;The man wants to be completely anonymous.;
dramatisk;Filmen har en veldig dramatisk slutt.;dramatic;The movie has a very dramatic ending.;
egne;De har sine egne ideer om prosjektet.;own;They have their own ideas about the project.;
pleie;Jeg pleier å drikke kaffe om morgenen.;usually do;I usually drink coffee in the morning.;
delvis;Svaret er bare delvis riktig.;partially;The answer is only partially correct.;
en kunstner;En dyktig kunstner maler et bilde.;an artist;A skilled artist paints a picture.;
reell;Det er en reell sjanse for regn.;real;There is a real chance of rain.;
en mail;Jeg sender en mail til sjefen min.;an email;I am sending an email to my boss.;
ovenfor;Se på eksempelet som står ovenfor.;above;Look at the example that stands above.;
en innvandrer;En ny innvandrer lærer seg norsk.;an immigrant;A new immigrant is learning Norwegian.;
en nabo;Naboen min er en veldig hyggelig mann.;a neighbor;My neighbor is a very nice man.;
hallo;Hallo, hvordan har du det i dag?;hello;Hello, how are you doing today?;
et hull;Det er et hull i den gamle genseren.;a hole;There is a hole in the old sweater.;
en boks;Jeg åpner en boks med kald brus.;a box;I am opening a box of cold soda.;
å løfte;Han prøver å løfte den tunge esken.;to lift;He is trying to lift the heavy box.;
å tegne;Barna liker å tegne fine bilder på skolen.;to draw;The children like to draw nice pictures at school.;
en forhånd;Du må bestille billettene på forhånd.;advance;You must book the tickets in advance.;
en ekspert;Hun er en ekspert på moderne historie.;an expert;She is an expert on modern history.;
et døgn;Det er tjuefire timer i et døgn.;a day;There are twenty-four hours in a day.;
en vind;Det blåser en kald vind fra havet.;a wind;A cold wind is blowing from the sea.;
en festival;Vi skal besøke en musikkfestival i sommer.;a festival;We are going to visit a music festival this summer.;
å ivareta;Vi må ivareta naturen for fremtiden.;to look after;We must look after nature for the future.;
å tildele;Komiteen skal tildele prisen til vinneren.;to award;The committee will award the prize to the winner.;
et skudd;Jegeren hører et høyt skudd i skogen.;a shot;The hunter hears a loud shot in the forest.;
en stas;Det er stor stas å feire bursdag.;a joy;It is a great joy to celebrate a birthday.;
å gifte;De skal gifte seg i en liten kirke.;to marry;They are going to get married in a small church.;
å påstå;Han påstår at han snakker sant.;to claim;He claims that he is telling the truth.;
ekstern;Bedriften bruker en ekstern rådgiver.;external;The company uses an external advisor.;
et skritt;Hun tar et lite skritt mot døren.;a step;She takes a small step toward the door.;
å vende;Du må vende deg mot høyre i krysset.;to turn;You must turn to the right at the intersection.;
å møtes;Vi møtes på kafeen klokken fem.;to meet;We meet at the cafe at five o'clock.;
et klima;Verden må samarbeide for å redde vårt klima.;a climate;The world must cooperate to save our climate.;
en andel;Hun eier en stor andel av firmaet.;a share;She owns a large share of the company.;
et alvor;Nå må vi snakke om saken med alvor.;seriousness;Now we must talk about the matter with seriousness.;
å låne;Kan jeg låne en penn av deg?;to borrow;Can I borrow a pen from you?;
tynn;Isen på vannet er veldig tynn nå.;thin;The ice on the water is very thin now.;
kulturell;Byen har et rikt kulturelt tilbud.;cultural;The city has a rich cultural offering.;
en tillit;Det er viktig å ha tillit til vennene sine.;trust;It is important to have trust in one's friends.;
en bolig;Det er dyrt å kjøpe en bolig i Oslo.;residence;It is expensive to buy a residence in Oslo.;
å vurdere;Vi må vurdere alle mulighetene før vi bestemmer oss.;consider;We must consider all the possibilities before we decide.;
å fungere;Min nye datamaskin fungerer veldig bra.;function;My new computer functions very well.;
et forhold;De har et godt forhold til naboene sine.;relationship;They have a good relationship with their neighbors.;
å øke;Prisene på mat fortsetter å øke.;increase;The prices of food continue to increase.;
en ressurs;Vann er en viktig ressurs for alle land.;resource;Water is an important resource for all countries.;
å bidra;Alle må bidra for å nå målet vårt.;contribute;Everyone must contribute to reach our goal.;
en undersøkelse;Legen utfører en undersøkelse av pasienten.;examination;The doctor performs an examination of the patient.;
å utvikle;Firmaet jobber med å utvikle ny teknologi.;develop;The company is working on developing new technology.;
å oppleve;Jeg har lyst til å oppleve nordlyset.;experience;I want to experience the northern lights.;
en avtale;Vi har en avtale om å møtes klokken to.;agreement;We have an agreement to meet at two o'clock.;
å gjelde;Disse reglene gjelder for alle elever.;apply;These rules apply to all students.;
en kunnskap;Du trenger mye kunnskap for å bestå prøven.;knowledge;You need a lot of knowledge to pass the test.;
en ro;Jeg trenger litt ro i kveld.;calm;I need some calm tonight;
en generasjon;Min generasjon liker å reise mye.;generation;My generation likes to travel a lot;
fjerde;Dette er fjerde gang jeg besøker Oslo.;fourth;This is the fourth time I visit Oslo;
sannsynlig;Det er sannsynlig at det regner i morgen.;likely;It is likely that it rains tomorrow;
klassisk;Hun spiller klassisk musikk på piano.;classical;She plays classical music on the piano;
en jøde;Han er en jøde som bor i Bergen.;Jew;He is a Jew who lives in Bergen;
en innflytter;Han er en innflytter fra et annet land.;immigrant;He is an immigrant from another country;
medisinsk;Han trenger medisinsk hjelp etter ulykken.;medical;He needs medical help after the accident;
et demokrati;Norge er et fungerende demokrati.;democracy;Norway is a functioning democracy;
å helle;Jeg heller melk i glasset mitt.;to pour;I pour milk into my glass;
en gjeng;En gjeng med venner drar på kino.;gang;A gang of friends is going to the cinema;
en regi;Filmen har en veldig god regi.;direction;The film has a very good direction;
fet;Maten er veldig fet og mektig.;fat;The food is very fat and rich;
profesjonell;Hun er en profesjonell danser.;professional;She is a professional dancer;
et foredrag;Jeg hører på et spennende foredrag.;lecture;I am listening to an exciting lecture;
en motstand;De møter mye motstand i saken.;resistance;They meet much resistance in the case;
å forbedre;Jeg prøver å forbedre norsken min.;to improve;I am trying to improve my Norwegian;
seksuell;De snakker om seksuell helse på skolen.;sexual;They talk about sexual health at school;
å utvide;Vi utvider huset med et nytt rom.;to expand;We are expanding the house with a new room;
derifra;Vi reiser derifra klokken fem.;from there;We travel from there at five o'clock;
ifra;Han sier fra når han er ferdig.;from;He says from (gives notice) when he is finished;
en frykt;Han føler en stor frykt for mørket.;fear;He feels a great fear of the dark;
en bonde;En bonde må jobbe mye ute.;a farmer;A farmer must work outside a lot.;
en ring;Hun har på seg en fin ring.;a ring;She is wearing a nice ring.;
sur;Mannen er sur fordi han er trøtt.;sour/grumpy;The man is grumpy because he is tired.;
beregne;Vi må beregne prisen på reisen.;calculate;We must calculate the price of the trip.;
en temperatur;Hva er en normal temperatur i dag?;a temperature;What is a normal temperature today?;
en fart;Bilen kjører i høy fart.;a speed;The car is driving at high speed.;
en bransje;Hun jobber i en spennende bransje.;an industry;She works in an exciting industry.;
skriftlig;Du må levere en skriftlig rapport.;written;You must deliver a written report.;
et oppgjør;Partene må ta et rettferdig oppgjør.;a settlement;The parties must have a fair settlement.;
våkne;Jeg pleier å våkne tidlig hver dag.;wake;I usually wake up early every day.;
et batteri;Jeg må kjøpe et nytt batteri.;a battery;I must buy a new battery.;
et arbeidsliv;Et moderne arbeidsliv krever god kompetanse.;a working life;A modern working life requires good competence.;
male;Han liker å male huset sitt.;paint;He likes to paint his house.;
helt;Jeg er helt ferdig med oppgaven.;completely;I am completely finished with the task.;
hittil;Vi har ikke sett noen feil hittil.;so far;We have not seen any errors so far.;
en tendens;Det er en positiv tendens i markedet.;a tendency;There is a positive tendency in the market.;
et søk;Politiet gjør et grundig søk i området.;a search;The police are doing a thorough search in the area.;
binde;Du må binde fast sykkelen din.;bind;You must bind your bike fast.;
en te;Jeg drikker en kopp te hver kveld.;a tea;I drink a cup of tea every evening.;
jaså;Jaså, så du kommer i dag likevel?;really;Really, so you are coming today anyway?;
riktignok;Det er riktignok kaldt, men sola skinner.;admittedly;It is admittedly cold, but the sun is shining.;
en virkning;Medisinen har en rask virkning på kroppen.;an effect;The medicine has a fast effect on the body.;
tørr;Bakken er helt tørr etter regnet.;dry;The ground is completely dry after the rain.;
nøyaktig;Han gir et nøyaktig svar på spørsmålet.;accurate;He gives an accurate answer to the question.;
regional;Dette er en viktig regional flyplass.;regional;This is an important regional airport.;
passere;Toget skal passere stasjonen om litt.;pass;The train will pass the station shortly.;
en gjenge;Alt går i sin faste gjenge her.;a routine;Everything goes in its regular routine here.;
gripe;Vi må gripe sjansen når den kommer.;grab;We must grab the chance when it comes.;
grundig;Hun gjør en grundig jobb med prosjektet.;thorough;She does a thorough job with the project.;
klikke;Du må klikke på denne lenken nå.;click;You must click on this link now.;
pluss;To pluss to er fire.;plus;Two plus two is four.;
et symptom;Hva er et vanlig symptom på sykdommen?;symptom;What is a common symptom of the illness?;
en gave;Jeg kjøper en fin gave til henne.;gift;I am buying a nice gift for her.;
føles;Det føles godt å være hjemme igjen.;feels;It feels good to be home again.;
ake;Barna liker å ake i snøen.;sled;The children like to sled in the snow.;
en toast;Han spiser en toast til frokost.;toast;He eats a toast for breakfast.;
en varg;En varg løper gjennom den mørke skogen.;wolf;A wolf runs through the dark forest.;
en programvare;Denne nye programvaren fungerer veldig bra.;software;This new software works very well.;
ordne;Jeg kan ordne alt før møtet starter.;arrange;I can arrange everything before the meeting starts.;
en hage;De har en stor hage bak huset.;garden;They have a large garden behind the house.;
avvise;Det er vanskelig å avvise et godt tilbud.;reject;It is difficult to reject a good offer.;
en dokumentasjon;Vi trenger dokumentasjon på alle utgiftene.;documentation;We need documentation for all the expenses.;
en figur;Han tegner en liten figur på papiret.;figure;He draws a small figure on the paper.;
en tilbakemelding;Læreren gir oss en positiv tilbakemelding.;feedback;The teacher gives us positive feedback.;
et initiativ;Hun tar et viktig initiativ i gruppen.;initiative;She takes an important initiative in the group.;
heve;De må heve lønnen til de ansatte.;raise;Raise;They must raise the salary of the employees.;
uttrykke;Det er viktig å uttrykke sine egne følelser.;express;It is important to express one's own feelings.;
en motsetning;Det er en stor motsetning mellom de to.;contrast;There is a great contrast between the two.;
et bygg;Dette er et moderne bygg i sentrum.;building;This is a modern building in the city center.;
en finale;Laget spiller finale på søndag.;final;The team is playing the final on Sunday.;
et skip;Et stort skip kommer inn til havnen.;ship;A large ship is coming into the harbor.;
nedre;Vi bor i den nedre delen av byen.;lower;We live in the lower part of the town.;
en anelse;Jeg har ingen anelse om hva som skjer.;inkling;I have no inkling of what is happening.;
åpenbare;De åpenbare feilene må rettes nå.;obvious;The obvious errors must be corrected now.;
synke;Skipet begynner å synke i det kalde vannet.;sink;The ship is beginning to sink in the cold water.;
utenom;Ingen kommer på besøk utenom familien.;except;No one comes to visit except the family.;
en teknikk;Denne nye teknikken fungerer veldig bra.;technique;This new technique works very well.;
et offer;Han er et offer for en stor misforståelse.;victim;He is a victim of a big misunderstanding.;
demokratisk;Vi bor i et fritt og demokratisk land.;democratic;We live in a free and democratic country.;
en kino;Vi drar på kino for å se en film.;cinema;We are going to the cinema to see a movie.;
en forhandling;En lang forhandling starter tidlig i morgen.;negotiation;A long negotiation starts early tomorrow.;
synlig;Toppen av fjellet er synlig fra byen.;visible;The top of the mountain is visible from the city.;
en anbefaling;Jeg følger din anbefaling når jeg kjøper bil.;recommendation;I follow your recommendation when I buy a car.;
muslimsk;Høytiden er en viktig muslimsk tradisjon.;muslim;The holiday is an important Muslim tradition.;
en oppløsning;Skjermen har en veldig høy oppløsning.;resolution;The screen has a very high resolution.;
en maks;Hva er din maks fart på denne veien?;max;What is your max speed on this road?;
et bryst;Han kjenner en lett smerte i sitt bryst.;chest;He feels a slight pain in his chest.;
gjenta;Vennligst gjenta det du sa i morges.;repeat;Please repeat what you said this morning.;
fornuftig;Det er et fornuftig valg å spare penger.;sensible;It is a sensible choice to save money.;
en reklame;Jeg ser en morsom reklame på TV.;advertisement;I see a funny advertisement on TV.;
et seminar;Vi deltar på et seminar om moderne historie.;seminar;We are attending a seminar on modern history.;
en børs;Prisene på en børs endrer seg raskt.;stock exchange;The prices on a stock exchange change quickly.;
kritisere;Det er lett å kritisere andres harde arbeid.;criticize;It is easy to criticize others' hard work.;
en aksjon;Politiet starter en aksjon mot ulovlig parkering.;action;The police start an action against illegal parking.;
en episode;Dette er den beste episoden i hele serien.;episode;This is the best episode in the whole series.;
en meny;Kan jeg få se på en meny, takk?;menu;Can I see a menu, please.;
en likhet;Det er stor likhet mellom disse to brødrene.;similarity;There is great similarity between these two brothers.;
beklage;Jeg må beklage at jeg kommer for sent til møtet;apologize;I must apologize for arriving late to the meeting;
artig;Det er artig å lære et nytt språk sammen;fun;It is fun to learn a new language together;
kle;Du må kle på deg varme klær i dag;dress;You must dress in warm clothes today;
